sample,positive_count,positive_covid_symptomatic_rate,positive_covid_asymptomatic_rate,positive_reported_symptomatic_rate,negative_reported_symptomatic_rate
company_n3000_sample01_maxpos5pct_work,116,0.3017241379310345,0.6982758620689655,0.3793103448275862,0.13245492371705964
company_n3000_sample02_maxpos5pct_work,100,0.36,0.64,0.38,0.13034482758620689
company_n3000_sample03_maxpos5pct_work,84,0.40476190476190477,0.5952380952380952,0.4642857142857143,0.12722908093278465
company_n3000_sample04_maxpos5pct_work,75,0.4533333333333333,0.5466666666666666,0.4666666666666667,0.11794871794871795
company_n3000_sample05_maxpos5pct_work,69,0.2898550724637681,0.7101449275362319,0.36231884057971014,0.1276015011941317
company_n3000_sample06_maxpos5pct_work,58,0.39655172413793105,0.603448275862069,0.46551724137931033,0.12406526172671652
company_n3000_sample07_maxpos5pct_work,55,0.38181818181818183,0.6181818181818182,0.45454545454545453,0.1293718166383701
company_n3000_sample08_maxpos5pct_work,52,0.34615384615384615,0.6538461538461539,0.40384615384615385,0.12211668928086838
company_n3000_sample09_maxpos5pct_work,51,0.21568627450980393,0.7843137254901961,0.23529411764705882,0.12377076975245846
company_n3000_sample10_maxpos5pct_work,65,0.4307692307692308,0.5692307692307692,0.5076923076923077,0.13049403747870528
company_n3000_sample11_maxpos5pct_work,62,0.3387096774193548,0.6612903225806451,0.3870967741935484,0.13308373042886318
company_n3000_sample12_maxpos5pct_work,57,0.3684210526315789,0.631578947368421,0.42105263157894735,0.1291199456337071
company_n3000_sample13_maxpos5pct_work,56,0.32142857142857145,0.6785714285714286,0.42857142857142855,0.13043478260869565
company_n3000_sample14_maxpos5pct_work,54,0.35185185185185186,0.6481481481481481,0.4074074074074074,0.13034623217922606
company_n3000_sample15_maxpos5pct_work,52,0.4230769230769231,0.5769230769230769,0.5,0.1309362279511533
company_n3000_sample16_maxpos5pct_work,61,0.3114754098360656,0.6885245901639344,0.4262295081967213,0.12827492344334807
company_n3000_sample17_maxpos5pct_work,57,0.2982456140350877,0.7017543859649122,0.38596491228070173,0.13387699626231736
company_n3000_sample18_maxpos5pct_work,55,0.38181818181818183,0.6181818181818182,0.45454545454545453,0.1266553480475382
company_n3000_sample19_maxpos5pct_work,55,0.4,0.6,0.4727272727272727,0.12292020373514431
company_n3000_sample20_maxpos5pct_work,52,0.36538461538461536,0.6346153846153846,0.4230769230769231,0.12381275440976934
company_n3000_sample21_maxpos5pct_work,50,0.34,0.66,0.34,0.12779661016949154
company_n3000_sample22_maxpos5pct_work,50,0.32,0.68,0.36,0.12474576271186441
company_n3000_sample23_maxpos5pct_work,58,0.29310344827586204,0.7068965517241379,0.3275862068965517,0.1247450713800136
company_n3000_sample24_maxpos5pct_work,54,0.2777777777777778,0.7222222222222222,0.35185185185185186,0.12898845892735913
company_n3000_sample25_maxpos5pct_work,54,0.35185185185185186,0.6481481481481481,0.3888888888888889,0.13713509843856075
company_n3000_sample26_maxpos5pct_work,54,0.2962962962962963,0.7037037037037037,0.4074074074074074,0.14019008825526136
company_n3000_sample27_maxpos5pct_work,53,0.2641509433962264,0.7358490566037735,0.33962264150943394,0.12826603325415678
company_n3000_sample28_maxpos5pct_work,56,0.4107142857142857,0.5892857142857143,0.48214285714285715,0.13654891304347827
company_n3000_sample29_maxpos5pct_work,56,0.375,0.625,0.42857142857142855,0.1280570652173913
company_n3000_sample30_maxpos5pct_work,56,0.32142857142857145,0.6785714285714286,0.4107142857142857,0.1328125
company_n3000_sample31_maxpos5pct_work,56,0.21428571428571427,0.7857142857142857,0.2857142857142857,0.12737771739130435
company_n3000_sample32_maxpos5pct_work,56,0.25,0.75,0.35714285714285715,0.12194293478260869
company_n3000_sample33_maxpos5pct_work,53,0.20754716981132076,0.7924528301886793,0.2830188679245283,0.13912453342382083
company_n3000_sample34_maxpos5pct_work,56,0.375,0.625,0.42857142857142855,0.11480978260869565
company_n3000_sample35_maxpos5pct_work,56,0.3392857142857143,0.6607142857142857,0.42857142857142855,0.12601902173913043
company_n3000_sample36_maxpos5pct_work,56,0.375,0.625,0.42857142857142855,0.13179347826086957
company_n3000_sample37_maxpos5pct_work,52,0.38461538461538464,0.6153846153846154,0.4423076923076923,0.12584803256445048
company_n3000_sample38_maxpos5pct_work,54,0.2962962962962963,0.7037037037037037,0.3888888888888889,0.13374066530889342
company_n3000_sample39_maxpos5pct_work,54,0.37037037037037035,0.6296296296296297,0.48148148148148145,0.12355736591989137
company_n3000_sample40_maxpos5pct_work,54,0.3888888888888889,0.6111111111111112,0.42592592592592593,0.11710794297352342
company_n3000_sample41_maxpos5pct_work,54,0.25925925925925924,0.7407407407407407,0.37037037037037035,0.11676849966055669
company_n3000_sample42_maxpos5pct_work,52,0.2692307692307692,0.7307692307692307,0.38461538461538464,0.12042062415196743
company_n3000_sample43_maxpos5pct_work,50,0.24,0.76,0.3,0.1264406779661017
company_n3000_sample44_maxpos5pct_work,50,0.36,0.64,0.42,0.12338983050847457
company_n3000_sample45_maxpos5pct_work,50,0.42,0.58,0.42,0.12101694915254237
company_n3000_sample46_maxpos5pct_work,50,0.38,0.62,0.42,0.12949152542372883
company_n3000_sample47_maxpos5pct_work,50,0.4,0.6,0.5,0.12406779661016949
company_n3000_sample48_maxpos5pct_work,50,0.32,0.68,0.34,0.12542372881355932
company_n3000_sample49_maxpos5pct_work,52,0.4807692307692308,0.5192307692307693,0.5,0.13398914518317503
company_n3000_sample50_maxpos5pct_work,52,0.28846153846153844,0.7115384615384616,0.36538461538461536,0.12957937584803256
